"cnty_fips","display_name","Value","theme_range"
05127,"""Scott, (AR)""",121.2,"91.8 - 123.2 (642)"
05129,"""Searcy, (AR)""",118.6,"91.8 - 123.2 (642)"
05131,"""Sebastian, (AR)""",164.8,"164.5 - 283.2 (641)"
05133,"""Sevier, (AR)""",138.8,"123.3 - 144.4 (644)"
05135,"""Sharp, (AR)""",148.1,"144.5 - 164.4 (639)"
05137,"""Stone, (AR)""",99.6,"91.8 - 123.2 (642)"
05139,"""Union, (AR)""",145.8,"144.5 - 164.4 (639)"
05141,"""Van Buren, (AR)""",80.6,"32.1 - 91.7 (644)"
05143,"""Washington, (AR)""",122.9,"91.8 - 123.2 (642)"
05145,"""White, (AR)""",199.9,"164.5 - 283.2 (641)"
05147,"""Woodruff, (AR)""",187.6,"164.5 - 283.2 (641)"
05149,"""Yell, (AR)""",205.7,"164.5 - 283.2 (641)"
06001,"""Alameda, (CA)""",115.3,"91.8 - 123.2 (642)"
06003,"""Alpine, (CA)""",93.9,"91.8 - 123.2 (642)"
06005,"""Amador, (CA)""",124,"123.3 - 144.4 (644)"
06007,"""Butte, (CA)""",157.4,"144.5 - 164.4 (639)"
06009,"""Calaveras, (CA)""",82.6,"32.1 - 91.7 (644)"
06011,"""Colusa, (CA)""",115.9,"91.8 - 123.2 (642)"
06013,"""Contra Costa, (CA)""",113.9,"91.8 - 123.2 (642)"
06015,"""Del Norte, (CA)""",123.2,"91.8 - 123.2 (642)"
06017,"""El Dorado, (CA)""",111.2,"91.8 - 123.2 (642)"
06019,"""Fresno, (CA)""",123.2,"91.8 - 123.2 (642)"
06021,"""Glenn, (CA)""",129.1,"123.3 - 144.4 (644)"
06023,"""Humboldt, (CA)""",102.4,"91.8 - 123.2 (642)"
06025,"""Imperial, (CA)""",126.8,"123.3 - 144.4 (644)"
06027,"""Inyo, (CA)""",59.8,"32.1 - 91.7 (644)"
06029,"""Kern, (CA)""",129,"123.3 - 144.4 (644)"
06031,"""Kings, (CA)""",148.7,"144.5 - 164.4 (639)"
06033,"""Lake, (CA)""",81.9,"32.1 - 91.7 (644)"
06035,"""Lassen, (CA)""",84.1,"32.1 - 91.7 (644)"
06037,"""Los Angeles, (CA)""",144.5,"144.5 - 164.4 (639)"
06039,"""Madera, (CA)""",123.8,"123.3 - 144.4 (644)"
06041,"""Marin, (CA)""",86.8,"32.1 - 91.7 (644)"
06043,"""Mariposa, (CA)""",97.1,"91.8 - 123.2 (642)"
06045,"""Mendocino, (CA)""",75.5,"32.1 - 91.7 (644)"
06047,"""Merced, (CA)""",147.6,"144.5 - 164.4 (639)"
06049,"""Modoc, (CA)""",76.9,"32.1 - 91.7 (644)"
06051,"""Mono, (CA)""",48.9,"32.1 - 91.7 (644)"
06053,"""Monterey, (CA)""",106.5,"91.8 - 123.2 (642)"
06055,"""Napa, (CA)""",114.9,"91.8 - 123.2 (642)"
06057,"""Nevada, (CA)""",91,"32.1 - 91.7 (644)"
06059,"""Orange, (CA)""",114.2,"91.8 - 123.2 (642)"
06061,"""Placer, (CA)""",104.4,"91.8 - 123.2 (642)"
06063,"""Plumas, (CA)""",75.1,"32.1 - 91.7 (644)"
06065,"""Riverside, (CA)""",119.4,"91.8 - 123.2 (642)"
06067,"""Sacramento, (CA)""",123.4,"123.3 - 144.4 (644)"
06069,"""San Benito, (CA)""",116.8,"91.8 - 123.2 (642)"
06071,"""San Bernardino, (CA)""",139.2,"123.3 - 144.4 (644)"
06073,"""San Diego, (CA)""",106.8,"91.8 - 123.2 (642)"
06075,"""San Francisco, (CA)""",104.7,"91.8 - 123.2 (642)"
06077,"""San Joaquin, (CA)""",134.9,"123.3 - 144.4 (644)"
06079,"""San Luis Obispo, (CA)""",86.1,"32.1 - 91.7 (644)"
06081,"""San Mateo, (CA)""",86.3,"32.1 - 91.7 (644)"
06083,"""Santa Barbara, (CA)""",91,"32.1 - 91.7 (644)"
06085,"""Santa Clara, (CA)""",94.8,"91.8 - 123.2 (642)"
06087,"""Santa Cruz, (CA)""",91.7,"32.1 - 91.7 (644)"
06089,"""Shasta, (CA)""",121.6,"91.8 - 123.2 (642)"
06091,"""Sierra, (CA)""",74.1,"32.1 - 91.7 (644)"
06093,"""Siskiyou, (CA)""",50,"32.1 - 91.7 (644)"
06095,"""Solano, (CA)""",117,"91.8 - 123.2 (642)"
06097,"""Sonoma, (CA)""",93,"91.8 - 123.2 (642)"
06099,"""Stanislaus, (CA)""",147.2,"144.5 - 164.4 (639)"
06101,"""Sutter, (CA)""",140.3,"123.3 - 144.4 (644)"
06103,"""Tehama, (CA)""",113.2,"91.8 - 123.2 (642)"
06105,"""Trinity, (CA)""",95.5,"91.8 - 123.2 (642)"
06107,"""Tulare, (CA)""",138,"123.3 - 144.4 (644)"
06109,"""Tuolumne, (CA)""",104.2,"91.8 - 123.2 (642)"
06111,"""Ventura, (CA)""",122.3,"91.8 - 123.2 (642)"
06113,"""Yolo, (CA)""",101.9,"91.8 - 123.2 (642)"
06115,"""Yuba, (CA)""",150.3,"144.5 - 164.4 (639)"
08001,"""Adams, (CO)""",122.8,"91.8 - 123.2 (642)"
08003,"""Alamosa, (CO)""",95.7,"91.8 - 123.2 (642)"
08005,"""Arapahoe, (CO)""",120.7,"91.8 - 123.2 (642)"
08007,"""Archuleta, (CO)""",53.8,"32.1 - 91.7 (644)"
08009,"""Baca, (CO)""",84.2,"32.1 - 91.7 (644)"
08011,"""Bent, (CO)""",115.5,"91.8 - 123.2 (642)"
