fips,p_nonwhite,p_white
05111,12.676232585300742,87.32376741469926
05113,10.67883684971819,89.32116315028182
05115,15,85
05117,14.490958632648008,85.50904136735198
05119,47.172761536110826,52.827238463889174
05121,5.761087586360597,94.2389124136394
05123,59.63677817524273,40.36322182475726
05125,15.105294800734633,84.89470519926536
05127,14.17773040023258,85.82226959976742
05129,5.478763508419201,94.5212364915808
05131,29.022410432631716,70.97758956736828
05133,41.980278896084954,58.019721103915046
05135,5.176782218127375,94.82321778187263
05137,4.2466083326643655,95.75339166733563
05139,38.393906865000254,61.60609313499974
05141,5.294223935433355,94.70577606456665
05143,27.63070716278206,72.36929283721794
05145,10.96828280005589,89.03171719994411
05147,29.676425269645605,70.3235747303544
05149,24.313907592291617,75.68609240770839
06001,67.12506292174065,32.87493707825935
06003,34.78655767484105,65.21344232515894
06005,21.128405657263286,78.87159434273671
06007,26.325803438613484,73.67419656138652
06009,17.30187272488049,82.69812727511952
06011,64.914227585888,35.085772414111986
06013,54.98658946370896,45.01341053629104
06015,35.30257294810982,64.69742705189017
06017,20.661009660264952,79.33899033973505
06019,70.0129726468222,29.987027353177798
06021,48.18340642492958,51.816593575070414
06023,23.336730877813057,76.66326912218693
06025,89.31511821676649,10.684881783233513
06027,36.932228831934175,63.067771168065825
06029,65.52169801642349,34.4783019835765
06031,67.05733123686957,32.94266876313043
06033,28.559224628001616,71.44077537199838
06035,33.325758067657944,66.67424193234206
06037,72.81624751942454,27.183752480575464
06039,65.49038510325232,34.50961489674768
06041,26.87105743532076,73.12894256467925
06043,18.55074122832122,81.44925877167879
06045,33.82530876880579,66.17469123119422
06047,71.95603515731625,28.04396484268375
06049,20.884128973453343,79.11587102654666
06051,33.40350877192982,66.59649122807018
06053,69.29480204043215,30.705197959567855
06055,46.77191447241011,53.2280855275899
06057,13.391710800834536,86.60828919916547
06059,58.329901618597546,41.67009838140245
06061,26.05755069960753,73.94244930039248
06063,14.688364177834504,85.3116358221655
06065,64.11546958124792,35.88453041875208
06067,53.787829134152076,46.212170865847924
06069,65.51180590539025,34.488194094609746
06071,71.04222088475656,28.957779115243444
06073,53.08566461803142,46.91433538196858
06075,57.98642597970124,42.01357402029877
06077,67.36507852151038,32.63492147848962
06079,29.878877504313227,70.12112249568678
