"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US30029","Flathead County, Montana","0.4546","0.0166"
"0500000US30109","Wibaux County, Montana","0.3573","0.0388"
"0500000US30059","Meagher County, Montana","0.4024","0.0310"
"0500000US30009","Carbon County, Montana","0.4125","0.0189"
"0500000US30071","Phillips County, Montana","0.4175","0.0320"
"0500000US31001","Adams County, Nebraska","0.4607","0.0226"
"0500000US31109","Lancaster County, Nebraska","0.4418","0.0061"
"0500000US31011","Boone County, Nebraska","0.4191","0.0250"
"0500000US31149","Rock County, Nebraska","0.4360","0.0343"
"0500000US31007","Banner County, Nebraska","0.5146","0.0678"
"0500000US31163","Sherman County, Nebraska","0.3968","0.0419"
"0500000US31147","Richardson County, Nebraska","0.4305","0.0286"
"0500000US31093","Howard County, Nebraska","0.3737","0.0195"
"0500000US31089","Holt County, Nebraska","0.4124","0.0279"
"0500000US31065","Furnas County, Nebraska","0.4205","0.0253"
"0500000US31073","Gosper County, Nebraska","0.4128","0.0501"
"0500000US31151","Saline County, Nebraska","0.3916","0.0238"
"0500000US31153","Sarpy County, Nebraska","0.3841","0.0075"
"0500000US31173","Thurston County, Nebraska","0.4761","0.0338"
"0500000US31177","Washington County, Nebraska","0.4039","0.0189"
"0500000US31015","Boyd County, Nebraska","0.4468","0.0382"
"0500000US31031","Cherry County, Nebraska","0.4118","0.0411"
"0500000US31053","Dodge County, Nebraska","0.4282","0.0224"
"0500000US31059","Fillmore County, Nebraska","0.4430","0.0335"
"0500000US31069","Garden County, Nebraska","0.5065","0.0973"
"0500000US31091","Hooker County, Nebraska","0.4188","0.0634"
"0500000US31123","Morrill County, Nebraska","0.4246","0.0371"
"0500000US31127","Nemaha County, Nebraska","0.4225","0.0223"
"0500000US31159","Seward County, Nebraska","0.3992","0.0137"
"0500000US31171","Thomas County, Nebraska","0.4075","0.0432"
"0500000US31043","Dakota County, Nebraska","0.4173","0.0280"
"0500000US31181","Webster County, Nebraska","0.4630","0.0301"
"0500000US31003","Antelope County, Nebraska","0.4315","0.0270"
"0500000US31023","Butler County, Nebraska","0.3874","0.0188"
"0500000US31035","Clay County, Nebraska","0.3962","0.0252"
"0500000US31041","Custer County, Nebraska","0.5024","0.0636"
"0500000US31067","Gage County, Nebraska","0.4123","0.0136"
"0500000US31081","Hamilton County, Nebraska","0.3800","0.0188"
"0500000US31099","Kearney County, Nebraska","0.4245","0.0365"
"0500000US31101","Keith County, Nebraska","0.4243","0.0213"
"0500000US31119","Madison County, Nebraska","0.4362","0.0226"
"0500000US31135","Perkins County, Nebraska","0.4365","0.0525"
"0500000US31155","Saunders County, Nebraska","0.3904","0.0220"
"0500000US31179","Wayne County, Nebraska","0.4235","0.0331"
"0500000US31103","Keya Paha County, Nebraska","0.4274","0.0346"
"0500000US31107","Knox County, Nebraska","0.4171","0.0180"
"0500000US31111","Lincoln County, Nebraska","0.4370","0.0224"
"0500000US31139","Pierce County, Nebraska","0.4048","0.0200"
"0500000US31165","Sioux County, Nebraska","0.4020","0.0289"
"0500000US31025","Cass County, Nebraska","0.3927","0.0141"
"0500000US31051","Dixon County, Nebraska","0.4033","0.0213"
"0500000US31057","Dundy County, Nebraska","0.4248","0.0327"
